frame,id,x,y,w,h,conf,class
1,0,123.0,708.0,43.900000000000006,100.79999999999995,1.0,0.0
1,1,542.0,554.0,34.200000000000045,90.5,1.0,0.0
1,2,1519.0,560.0,50.799999999999955,117.5,1.0,0.0
1,3,1373.0,519.0,34.5,93.60000000000002,1.0,0.0
1,4,500.0,550.0,35.299999999999955,89.79999999999995,0.999,0.0
1,5,1609.0,560.0,54.700000000000045,121.0,0.998,0.0
1,6,1446.0,504.0,29.59999999999991,81.0,0.997,0.0
1,7,1475.0,515.0,39.09999999999991,83.29999999999995,0.996,0.0
1,8,268.0,586.0,50.19999999999999,145.0,0.995,0.0
1,9,1074.0,485.0,17.200000000000045,38.700000000000045,0.995,0.0
1,10,649.0,528.0,26.200000000000045,69.0,0.994,0.0
1,11,787.0,505.0,17.899999999999977,45.0,0.988,0.0
1,12,1185.0,488.0,14.099999999999909,33.60000000000002,0.969,0.0
1,13,674.0,523.0,23.600000000000023,57.200000000000045,0.926,0.0
1,14,826.0,509.0,18.700000000000045,46.60000000000002,0.911,0.0
1,15,772.0,502.0,18.600000000000023,48.60000000000002,0.83,0.0
1,16,188.0,579.0,54.19999999999999,144.89999999999998,0.749,0.0
1,17,635.0,532.0,22.799999999999955,60.10000000000002,0.619,0.0
2,12,1184.0,486.0,14.900000000000091,35.39999999999998,0.883,0.0
2,18,112.0,700.0,41.5,96.89999999999998,1.0,0.0
2,19,498.0,537.0,37.799999999999955,94.70000000000005,1.0,0.0
2,20,1375.0,511.0,36.299999999999955,96.39999999999998,0.999,0.0
2,21,1618.0,556.0,53.799999999999955,126.79999999999995,0.999,0.0
2,22,1486.0,515.0,33.0,77.10000000000002,0.999,0.0
2,23,543.0,540.0,33.200000000000045,85.60000000000002,0.999,0.0
2,24,1529.0,558.0,57.200000000000045,121.39999999999998,0.999,0.0
2,25,1449.0,505.0,30.200000000000045,78.5,0.999,0.0
2,26,264.0,572.0,52.39999999999998,145.60000000000002,0.997,0.0
2,27,647.0,520.0,27.399999999999977,69.20000000000005,0.994,0.0
2,28,1070.0,482.0,17.5,34.0,0.991,0.0
2,29,792.0,496.0,17.600000000000023,50.60000000000002,0.989,0.0
2,30,675.0,513.0,24.700000000000045,61.10000000000002,0.952,0.0
2,31,171.0,564.0,61.0,151.5,0.938,0.0
2,32,826.0,499.0,17.899999999999977,47.200000000000045,0.937,0.0
2,33,776.0,499.0,17.700000000000045,46.799999999999955,0.86,0.0
2,34,634.0,524.0,22.299999999999955,59.89999999999998,0.859,0.0
2,35,1874.0,564.0,41.200000000000045,107.10000000000002,0.416,0.0
3,20,1377.0,512.0,38.40000000000009,95.29999999999995,0.999,0.0
3,22,1487.0,514.0,35.299999999999955,73.70000000000005,0.998,0.0
3,24,1531.0,548.0,53.799999999999955,123.0,1.0,0.0
3,36,1627.0,547.0,53.59999999999991,127.10000000000002,1.0,0.0
3,37,543.0,551.0,33.0,85.0,1.0,0.0
3,38,102.0,724.0,43.400000000000006,97.70000000000005,1.0,0.0
